,주소,유동인구
0,충청북도 음성군 생극면 팔성리 32 생극면 팔성리 32번지 음성군 충청북도 KR 27620,2
1,충청북도 음성군 생극면 팔성리 893,0
2,충청북도 음성군 생극면 팔성리,0
3,충청북도 음성군 생극면 임곡길,32
4,충청북도 음성군 생극면 팔성리 533,0
5,충청북도 음성군 생극면 팔성리,0
6,충청북도 음성군 생극면 임곡길,32
7,충청북도 음성군 생극면 팔성리,0
8,충청북도 음성군 생극면 일생로,5
9,충청북도 음성군 생극면 토끼실길,0
10,충청북도 음성군 생극면 팔성리 632-2,1
11,충청북도 음성군 생극면 팔성리 379-6,0
12,충청북도 음성군 생극면 팔성리,0
13,충청북도 음성군 생극면 팔성리 210,0
14,충청북도 음성군 생극면 관성리,0
15,충청북도 음성군 생극면 팔성리,0
16,충청북도 음성군 생극면 팔성리,0
17,충청북도 음성군 생극면 팔성리 220-1,0
18,충청북도 음성군 생극면 팔성리,0
19,충청북도 음성군 생극면 팔성리 746-1,0
20,충청북도 음성군 생극면 팔성리,0
21,충청북도 음성군 생극면 팔성리 435,0
22,충청북도 음성군 생극면 토끼실길,0
23,충청북도 음성군 생극면 토끼실길 73-42,0
24,충청북도 음성군 생극면 팔성리 274-1,0
25,충청북도 음성군 생극면 팔성리 374,0
26,충청북도 음성군 생극면 일생로,5
27,충청북도 음성군 생극면 팔성리,0
28,충청북도 음성군 생극면 팔성길,17
29,충청북도 음성군 생극면 팔성리,0
30,충청북도 음성군 생극면 팔성리 352-15,1
31,충청북도 음성군 생극면 팔성리 387-2,2
32,충청북도 음성군 생극면 토끼실길,0
33,충청북도 음성군 생극면 임곡리,0
34,충청북도 음성군 생극면 팔성리 228-8,1
35,충청북도 음성군 생극면 토끼실길,0
36,충청북도 음성군 생극면 일생로,5
37,충청북도 음성군 생극면 토끼실길,0
38,충청북도 음성군 생극면 팔성리 산47,0
39,충청북도 음성군 생극면 팔성리,0
40,충청북도 음성군 생극면 팔성리 924,0
41,충청북도 음성군 생극면 일생로,5
42,충청북도 음성군 생극면 팔성리,0
43,충청북도 음성군 생극면 팔성리 987,0
44,충청북도 음성군 생극면 팔성리,0
45,충청북도 음성군 생극면 관성리,0
46,충청북도 음성군 생극면 일생로,5
47,충청북도 음성군 생극면 팔성리,0
48,충청북도 음성군 생극면 임곡길,32
49,충청북도 음성군 생극면 팔성리 371-4,6
50,충청북도 음성군 생극면 팔성리 379-9,4
51,충청북도 음성군 생극면 팔성리,0
52,충청북도 음성군 생극면 팔성리,0
53,충청북도 음성군 생극면 팔성리 792,0
54,충청북도 음성군 생극면 관성리,0
55,충청북도 음성군 생극면 토끼실길,0
56,충청북도 음성군 생극면 팔성리 186-1,0
57,충청북도 음성군 생극면 팔성리,0
58,충청북도 음성군 생극면 팔성리 85-14,0
59,충청북도 음성군 생극면 팔성리,0
60,충청북도 음성군 생극면 팔성리 376-11,0
61,충청북도 음성군 생극면 팔성리,0
62,충청북도 음성군 생극면 팔성리 22-5,0
63,충청북도 음성군 생극면 팔성리 1,1
64,충청북도 음성군 생극면 팔성리,0
65,충청북도 음성군 생극면 일생로,5
66,충청북도 음성군 생극면 팔성리 366-1,0
67,충청북도 음성군 생극면 팔성리,0
68,충청북도 음성군 생극면 관성리,0
69,충청북도 음성군 생극면 팔성리 506-1,0
70,충청북도 음성군 생극면 팔성리 산49,0
71,충청북도 음성군 생극면 토끼실길,0
72,충청북도 음성군 생극면 팔성리 251-1,0
73,충청북도 음성군 생극면 팔성리 70-1,0
74,충청북도 음성군 생극면 토끼실길,0
75,충청북도 음성군 생극면 일생로,5
76,충청북도 음성군 생극면 팔성리,0
77,충청북도 음성군 생극면 팔성리 330-2,0
78,충청북도 음성군 생극면 팔성리 768,0
79,충청북도 음성군 생극면 팔성리 870-3,0
80,충청북도 음성군 생극면 팔성리 870-3,0
81,충청북도 음성군 생극면 팔성리 870-3,0
82,충청북도 음성군 생극면 팔성리 870-3,0
83,충청북도 음성군 생극면 팔성리 645-1,0
84,충청북도 음성군 생극면 팔성리 53-1,0
85,충청북도 음성군 생극면 팔성리 265-3,1
86,충청북도 음성군 생극면 팔성리 253-2,0
87,충청북도 음성군 생극면 팔성리 375-1,1
88,충청북도 음성군 생극면 팔성리 662-1,0
89,충청북도 음성군 생극면 토끼실길,0
90,충청북도 음성군 생극면 팔성리 722,0
91,충청북도 음성군 생극면 팔성리 859,0
92,충청북도 음성군 생극면 팔성리,0
93,충청북도 음성군 생극면 일생로,5
94,충청북도 음성군 생극면 팔성리,0
95,충청북도 음성군 생극면 팔성리 478-2,0
96,충청북도 음성군 생극면 팔성리 764-3,0
97,충청북도 음성군 생극면 일생로,5
98,충청북도 음성군 생극면 팔성리,0
99,충청북도 음성군 생극면 팔성리,0
100,충청북도 음성군 생극면 팔성리 222-2,0
101,충청북도 음성군 생극면 팔성리 262,0
102,충청북도 음성군 생극면 팔성리 865-1,0
103,충청북도 음성군 생극면 팔성리 207,0
104,충청북도 음성군 생극면 팔성리 산48,0
105,충청북도 음성군 생극면 팔성리,0
106,충청북도 음성군 생극면 팔성리 167-1,0
107,충청북도 음성군 생극면 팔성리 산45,0
108,충청북도 음성군 생극면 팔성리,0
109,충청북도 음성군 생극면 팔성리 862,0
110,충청북도 음성군 생극면 팔성리 713-1,0
